ActivityID,ActivityName
a923406c-98ee-11e9-b462-0028f8be90af,Armour_Placement_S01_B02
a923406d-98ee-11e9-829f-0028f8be90af,Armour_Placement_S02_B02
a923406e-98ee-11e9-9cfb-0028f8be90af,Armour_Placement_S03_B02
a923406f-98ee-11e9-9ca3-0028f8be90af,Armour_Placement_S04_B02
a9234070-98ee-11e9-b0c1-0028f8be90af,Armour_Placement_S05_B02
a9234071-98ee-11e9-a911-0028f8be90af,Armour_Placement_S06_B02
a9234072-98ee-11e9-be8c-0028f8be90af,Armour_Placement_S07_B02
a9234073-98ee-11e9-985c-0028f8be90af,Armour_Placement_S08_B02
a9234074-98ee-11e9-8630-0028f8be90af,Armour_Placement_S09_B02
a9234075-98ee-11e9-baa3-0028f8be90af,Armour_Placement_S10_B02
a9234076-98ee-11e9-9abf-0028f8be90af,Armour_Placement_S11_B02
a9234077-98ee-11e9-b800-0028f8be90af,Armour_Placement_S12_B02
a9234078-98ee-11e9-bd1c-0028f8be90af,Armour_Placement_S13_B02
a9234079-98ee-11e9-b34d-0028f8be90af,Armour_Placement_S14_B02
a923675e-98ee-11e9-974f-0028f8be90af,Armour_Placement_S15_B02
a923675f-98ee-11e9-afdf-0028f8be90af,Armour_Placement_S16_B02
a9236760-98ee-11e9-97f0-0028f8be90af,Armour_Placement_S17_B02
a9236761-98ee-11e9-bef6-0028f8be90af,Armour_Placement_S18_B02
a9236762-98ee-11e9-9415-0028f8be90af,Armour_Placement_S19_B02
a9236763-98ee-11e9-8c14-0028f8be90af,Armour_Placement_S20_B02
a9236764-98ee-11e9-ab53-0028f8be90af,Levvel_Placement_S01_B01
a9236765-98ee-11e9-abd9-0028f8be90af,Levvel_Placement_S02_B01
a9236766-98ee-11e9-80ea-0028f8be90af,Levvel_Placement_S03_B01
a9236767-98ee-11e9-af1a-0028f8be90af,Levvel_Placement_S04_B01
a9236768-98ee-11e9-9ffe-0028f8be90af,Levvel_Placement_S05_B01
a9236769-98ee-11e9-b82c-0028f8be90af,Levvel_Placement_S06_B01
a923676a-98ee-11e9-84fc-0028f8be90af,Levvel_Placement_S07_B01
a923676b-98ee-11e9-85b8-0028f8be90af,Levvel_Placement_S08_B01
a923676c-98ee-11e9-af98-0028f8be90af,Levvel_Placement_S09_B01
a923676d-98ee-11e9-a537-0028f8be90af,Levvel_Placement_S10_B01
a923676e-98ee-11e9-874b-0028f8be90af,Levvel_Placement_S11_B01
a923676f-98ee-11e9-be3c-0028f8be90af,Levvel_Placement_S12_B01
a9236770-98ee-11e9-b58e-0028f8be90af,Levvel_Placement_S13_B01
a9236771-98ee-11e9-b2ed-0028f8be90af,Levvel_Placement_S14_B01
a9236772-98ee-11e9-aedb-0028f8be90af,Levvel_Placement_S15_B01
a9236773-98ee-11e9-8680-0028f8be90af,Levvel_Placement_S16_B01
a9236774-98ee-11e9-8157-0028f8be90af,Levvel_Placement_S17_B01
a9238e64-98ee-11e9-8fd3-0028f8be90af,Levvel_Placement_S18_B01
a9238e65-98ee-11e9-a434-0028f8be90af,Levvel_Placement_S19_B01
a9238e66-98ee-11e9-a645-0028f8be90af,Levvel_Placement_S20_B01
a9238e67-98ee-11e9-9ff7-0028f8be90af,Levvel_Placement_S01_B02
a9238e68-98ee-11e9-a20f-0028f8be90af,Levvel_Placement_S02_B02
a9238e69-98ee-11e9-9e52-0028f8be90af,Levvel_Placement_S03_B02
a9238e6a-98ee-11e9-b9e3-0028f8be90af,Levvel_Placement_S04_B02
a9238e6b-98ee-11e9-8a99-0028f8be90af,Levvel_Placement_S05_B02
a9238e6c-98ee-11e9-b227-0028f8be90af,Levvel_Placement_S06_B02
a9238e6d-98ee-11e9-84ef-0028f8be90af,Levvel_Placement_S07_B02
a9238e6e-98ee-11e9-9a41-0028f8be90af,Levvel_Placement_S08_B02
a9238e6f-98ee-11e9-9905-0028f8be90af,Levvel_Placement_S09_B02
a9238e70-98ee-11e9-a8a2-0028f8be90af,Levvel_Placement_S10_B02
a9238e71-98ee-11e9-9561-0028f8be90af,Levvel_Placement_S11_B02
a9238e72-98ee-11e9-8ac7-0028f8be90af,Levvel_Placement_S12_B02
a9238e73-98ee-11e9-ac34-0028f8be90af,Levvel_Placement_S13_B02
a9238e74-98ee-11e9-9feb-0028f8be90af,Levvel_Placement_S14_B02
a9238e75-98ee-11e9-88ad-0028f8be90af,Levvel_Placement_S15_B02
a9238e76-98ee-11e9-9121-0028f8be90af,Levvel_Placement_S16_B02
a9238e77-98ee-11e9-be61-0028f8be90af,Levvel_Placement_S17_B02
a9238e78-98ee-11e9-8f40-0028f8be90af,Levvel_Placement_S18_B02
a9238e79-98ee-11e9-b648-0028f8be90af,Levvel_Placement_S19_B02
a9238e7a-98ee-11e9-af0b-0028f8be90af,Levvel_Placement_S20_B02
e221b780-98ee-11e9-9133-0028f8be90af,Clay_Placement_S01_B01
e221deae-98ee-11e9-9f10-0028f8be90af,Clay_Placement_S01_B02
e221deaf-98ee-11e9-97b0-0028f8be90af,Clay_Placement_S02_B01
