SimulationID,ObjectID,EventID,ActivityID,LocationID,EventStart,EventStop,EventDuration
5e1d7c36-458e-11e9-816b-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,bd9683fa-97eb-11e9-a217-b469212bff5b,6dbbbdf7-4589-11e9-bf3b-b469212bff5b,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-06-26 10:27:46,2019-06-26 11:23:19.333333,0.03858024690972222
5e1d7c36-458e-11e9-816b-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,bd9683fa-97eb-11e9-a217-b469212bff5b,6dbbbdf7-4589-11e9-bf3b-b469212bff5b,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-06-26 10:27:46,2019-06-26 11:23:19.333333,0.03858024690972222
5e1d7c36-458e-11e9-816b-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,bd96dfcc-97eb-11e9-8bcd-b469212bff5b,6dbbbdf7-4589-11e9-bf3b-b469212bff5b,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-06-26 11:23:19.333333,2019-06-26 11:58:14.499092,0.024249603692129636
5e1d7c36-458e-11e9-816b-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,bd97208c-97eb-11e9-9e70-b469212bff5b,6dbbbdf7-4589-11e9-bf3b-b469212bff5b,6dbbbdf5-4589-11e9-82b2-b469212bff5b,2019-06-26 11:58:14.499092,2019-06-26 12:53:47.832425,0.03858024690972222
5e1d7c36-458e-11e9-816b-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,bd97208c-97eb-11e9-9e70-b469212bff5b,6dbbbdf7-4589-11e9-bf3b-b469212bff5b,6dbbbdf5-4589-11e9-82b2-b469212bff5b,2019-06-26 11:58:14.499092,2019-06-26 12:53:47.832425,0.03858024690972222
5e1d7c36-458e-11e9-816b-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,bd979586-97eb-11e9-9c6f-b469212bff5b,6dbbbdf7-4589-11e9-bf3b-b469212bff5b,6dbbbdf5-4589-11e9-82b2-b469212bff5b,2019-06-26 12:53:47.832425,2019-06-26 13:25:13.481607,0.021824643310185188
5e1d7c36-458e-11e9-816b-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,bd9683fa-97eb-11e9-a217-b469212bff5b,6dbbbdf7-4589-11e9-bf3b-b469212bff5b,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-06-26 13:25:13.481607,2019-06-26 14:20:46.814941,0.038580246921296295
5e1d7c36-458e-11e9-816b-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,bd9683fa-97eb-11e9-a217-b469212bff5b,6dbbbdf7-4589-11e9-bf3b-b469212bff5b,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-06-26 13:25:13.481607,2019-06-26 14:20:46.814941,0.038580246921296295
5e1d7c36-458e-11e9-816b-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,bd96dfcc-97eb-11e9-8bcd-b469212bff5b,6dbbbdf7-4589-11e9-bf3b-b469212bff5b,6dbbbdf4-4589-11e9-a501-b469212bff5b,2019-06-26 14:20:46.814941,2019-06-26 14:55:41.980699,0.024249603680555558
5e1d7c36-458e-11e9-816b-b469212bff5b,6dbbbdf6-4589-11e9-95a2-b469212bff5b,bd97208c-97eb-11e9-9e70-b469212bff5b,6dbbbdf7-4589-11e9-bf3b-b469212bff5b,6dbbbdf5-4589-11e9-82b2-b469212bff5b,2019-06-26 14:55:41.980699,2019-06-26 15:51:15.314032,0.03858024690972222
