SimulationID,SimulationDuration,SimulationCost
0b5f6b0c-4591-11e9-9288-b469212bff5b,3815395.84491,4415967.4130902765
6f1aed5a-458f-11e9-861a-b469212bff5b,1396195.84491,1615967.4130902775
5e1d7c36-458e-11e9-816b-b469212bff5b,36037922.500227,41710558.449336804
